DISCIPLINA,LOCAL DE AULA,DIA,TURNO,HORÁRIO INICIAL,HORÁRIO FINAL
ESTATISTICA (1104030),Pau Dos Ferros/ Central de aulas 1 / Sl. 06,Quinta,MANHÃ,07:55,09:45
ESTATISTICA (1104030),Pau Dos Ferros/ Central de aulas 1 / Sl. 06,Sexta,MANHÃ,07:55,09:45
REDES DE COMPUTADORES (1200279),Campus Pau dos Ferros / Cental 1 / Sl. 06,Terça,MANHÃ,09:55,11:45
REDES DE COMPUTADORES (1200279),Campus Pau dos Ferros / Cental 1 / Sl. 06,Quinta,MANHÃ,09:55,11:45
PROGRAMAÇÃO ORIENTADA A OBJETOS,Pau Dos Ferros/ Lti / Lab. inf. 02,Terça,TARDE,13:55,15:45
BANCO DE DADOS,Pau Dos Ferros/ Lti / Lab. inf. 02,Quarta,TARDE,13:55,15:45
BANCO DE DADOS,Pau Dos Ferros/ Lti / Lab. inf. 02,Terça,TARDE,15:55,17:45
PROGRAMAÇÃO ORIENTADA A OBJETOS,Pau Dos Ferros/ Lti / Lab. inf. 02,Quarta,TARDE,15:55,17:45
PROJETO E DESIGN DE INTERFACES,Pau Dos Ferros/ Lti / Lab. inf. 02,Segunda,NOITE,18:50,20:40
MATEMÁTICA DISCRETA,Pau Dos Ferros/ Lti / Auditório,Quarta,NOITE,18:50,20:40
MATEMÁTICA DISCRETA,Pau Dos Ferros/ Lti / Auditório,Segunda,NOITE,20:40,22:30
PROJETO E DESIGN DE INTERFACES,Pau Dos Ferros/ Lti / Lab. inf. 02,Quarta,NOITE,20:40,22:30
